n,N,elevation,improved_water,lst_day,ndvi,open_def,prec,rel_humidity,soil_moisture,soil_pH,soil_temp,elevation_cat,improved_water_cat,lst_day_cat,ndvi_cat,open_def_cat,prec_cat,rel_humidity_cat,soil_moisture_cat,soil_pH_cat,soil_temp_cat
0,32,1297.16979980469,89.1506500244141,28.3634757995605,0.610400021076202,1.75484454631805,3.95186543464661,59.4021797180176,21.7855129241943,56.9019355773926,18.0081787109375,"(1.13e+03,1.56e+03]","(86.9,95.5]","(28.3,31.6]","(0.484,0.613]","(0.928,2.19]","(3.81,5.14]","(55.7,65.1]","(20.3,23.8]","(55.4,58.3]","[min,19.6]"
0,32,1795.59326171875,92.8023834228516,24.3431835174561,0.753056049346924,0.787089824676514,4.87365102767944,81.3319473266602,21.7855129241943,53.4036064147949,18.0081787109375,"(1.56e+03,1.84e+03]","(86.9,95.5]","[min,26.3]","(0.678,max]","(0.723,0.928]","(3.81,5.14]","(72.6,max]","(20.3,23.8]","[min,55.4]","[min,19.6]"
0,30,1795.59326171875,92.8023834228516,24.3431835174561,0.753056049346924,0.787089824676514,4.87365102767944,81.3319473266602,21.7855129241943,53.4036064147949,18.0081787109375,"(1.56e+03,1.84e+03]","(86.9,95.5]","[min,26.3]","(0.678,max]","(0.723,0.928]","(3.81,5.14]","(72.6,max]","(20.3,23.8]","[min,55.4]","[min,19.6]"
0,33,2069.6689453125,96.4669799804688,23.6111717224121,0.731631815433502,0.868715763092041,5.22555637359619,81.3319473266602,21.7855129241943,51.9046173095703,18.0081787109375,"(1.84e+03,max]","(95.5,max]","[min,26.3]","(0.678,max]","(0.723,0.928]","(5.14,max]","(72.6,max]","(20.3,23.8]","[min,55.4]","[min,19.6]"
0,32,1809.81384277344,96.0916595458984,24.534257888794,0.723865151405335,0.673404932022095,4.83004713058472,81.3319473266602,16.9429836273193,53.1013984680176,19.9211120605469,"(1.56e+03,1.84e+03]","(95.5,max]","[min,26.3]","(0.678,max]","[min,0.723]","(3.81,5.14]","(72.6,max]","[min,18.2]","[min,55.4]","(19.6,21.1]"
0,14,987.427062988281,88.1171646118164,30.2346096038818,0.616442441940308,0.854833722114563,4.31159067153931,59.4021797180176,16.793270111084,58.0987205505371,25.5237121582031,"[min,1.13e+03]","(86.9,95.5]","(28.3,31.6]","(0.613,0.678]","(0.723,0.928]","(3.81,5.14]","(55.7,65.1]","[min,18.2]","(55.4,58.3]","(23.8,max]"
0,32,951.531066894531,61.6393814086914,31.1782608032227,0.619265139102936,1.01237332820892,3.97518682479858,59.4021797180176,16.793270111084,60.5110549926758,25.5237121582031,"[min,1.13e+03]","[min,68.5]","(28.3,31.6]","(0.613,0.678]","(0.928,2.19]","(3.81,5.14]","(55.7,65.1]","[min,18.2]","(58.3,64.5]","(23.8,max]"
0,33,945.326293945313,86.2186737060547,29.3949813842773,0.664403021335602,0.627153635025024,4.27293968200684,59.4021797180176,16.793270111084,58.5997314453125,25.5237121582031,"[min,1.13e+03]","(68.5,86.9]","(28.3,31.6]","(0.613,0.678]","[min,0.723]","(3.81,5.14]","(55.7,65.1]","[min,18.2]","(58.3,64.5]","(23.8,max]"
0,32,838.237548828125,69.0624237060547,31.8576164245606,0.575575768947601,0.503908812999725,3.90470862388611,59.4021797180176,16.793270111084,60.1020584106445,25.5237121582031,"[min,1.13e+03]","(68.5,86.9]","(31.6,max]","(0.484,0.613]","[min,0.723]","(3.81,5.14]","(55.7,65.1]","[min,18.2]","(58.3,64.5]","(23.8,max]"
0,34,1014.06365966797,90.0469512939453,30.0075778961182,0.622933328151703,1.07102704048157,4.18079662322998,59.4021797180176,16.793270111084,59.2061653137207,25.5237121582031,"[min,1.13e+03]","(86.9,95.5]","(28.3,31.6]","(0.613,0.678]","(0.928,2.19]","(3.81,5.14]","(55.7,65.1]","[min,18.2]","(58.3,64.5]","(23.8,max]"
