cluster_number,dpt1,literate_women,pn3,vacc_card,lst_day,night_light,prec,travel_hfa_malaria_atlas,travel_time_cities,prop,N,n,lng,lat
959,0.830954611301422,0.929745852947235,0.771932860215505,0.693424026171366,28.1086069742839,0.0683757985631625,3.98710648218791,8.94747908910116,34.6254386901856,100,4,4,35.511252,0.736433
960,0.833826765418053,0.947610929608345,0.786713987588882,0.712343961000443,24.9866647720337,0.065691314637661,4.39737975597382,5.07115638256073,34.3064122200012,100,3,3,35.537343,0.601926
961,0.826180517673492,0.958194971084595,0.7460711201032,0.700579166412354,20.0940494537354,0.0579633625845114,5.29372406005859,10.2988815307617,34.7015902201335,100,3,3,35.487432,0.53817
962,0.829927608370781,0.956852689385414,0.772686049342156,0.709196850657463,22.4311470985413,0.0683939969167113,5.7176775932312,6.88339012861252,37.0109100341797,50,2,1,35.522432,0.420864
963,0.829073627789815,0.954081376393636,0.773891071478526,0.708807706832886,22.5988082885742,0.0718369794388612,5.79308446248372,7.62556624412537,40.0006815592448,100,2,2,35.569316,0.353098
964,0.832815051078796,0.95338100194931,0.793240547180176,0.717507183551788,22.9718065261841,0.0493315756320953,5.02880191802979,3.44714617729187,45.3836631774902,100,3,3,35.587003,0.345775
965,0.830821305513382,0.948419347405434,0.779893457889557,0.707293406128883,22.9051418304443,0.0497536286711693,5.14251732826233,9.61510556936264,46.2597923278809,66.6666666666667,6,4,35.575372,0.19994
966,0.832297787070274,0.946762546896935,0.763979196548462,0.708779767155647,23.4658546447754,0.0648719221353531,4.67729663848877,10.8786553144455,49.8883514404297,100,1,1,35.572215,0.256569
968,0.836187243461609,0.915309369564056,0.781587461630503,0.701294104258219,25.0527871449788,0.038275337467591,4.36416085561117,13.1271588007609,86.9728444417318,100,3,3,35.582725,0.405107
969,0.842836101849874,0.896686653296153,0.753252585728963,0.689736644426982,21.2377020517985,0.0181627869606018,4.87538274129232,15.6381034851074,100.328155517578,100,4,4,35.607604,1.093396
970,0.84538097679615,0.861122369766235,0.757956802845001,0.677176907658577,20.6033596992493,0.00680124084465206,4.74911546707153,29.283091545105,124.001852035522,100,3,3,35.489031,1.104867
971,0.831099897623062,0.950557380914688,0.747239753603935,0.708092942833901,21.8570413589478,0.0433974945917726,4.33189845085144,26.8399268388748,104.912561416626,0,1,0,35.579886,1.221393
972,0.837410300970078,0.789597228169441,0.792060017585754,0.658086657524109,31.8722558021545,0.0205339607782662,3.10572850704193,39.1484849452972,106.777976989746,100,4,4,35.566186,1.044553
973,0.841637000441551,0.865313395857811,0.767053335905075,0.688588678836823,23.8682913780212,0.0163129041902721,4.39303398132324,18.5237455368042,108.213136672974,100,2,2,35.669919123,1.310909646
