vars,CPO
elevation_cat|open_def_cat|prec_cat|soil_moisture_cat,18.5037247990502
elevation_cat|open_def_cat|prec_cat|soil_pH_cat,18.4811951350891
elevation_cat|open_def_cat|prec_cat|soil_temp_cat,18.450708617591
elevation_cat|open_def_cat|rel_humidity_cat|soil_moisture_cat,18.3028692981518
elevation_cat|open_def_cat|rel_humidity_cat|soil_pH_cat,18.2704191259165
elevation_cat|open_def_cat|rel_humidity_cat|soil_temp_cat,18.3443590296192
elevation_cat|open_def_cat|soil_moisture_cat|soil_pH_cat,18.3996993189817
elevation_cat|open_def_cat|soil_moisture_cat|soil_temp_cat,18.5855486150894
elevation_cat|open_def_cat|soil_pH_cat|soil_temp_cat,18.4637217312979
elevation_cat|prec_cat|rel_humidity_cat|soil_moisture_cat,18.5297575605143
elevation_cat|prec_cat|rel_humidity_cat|soil_pH_cat,18.3984679007039
elevation_cat|prec_cat|rel_humidity_cat|soil_temp_cat,18.3997451083456
elevation_cat|prec_cat|soil_moisture_cat|soil_pH_cat,18.4942864443017
elevation_cat|prec_cat|soil_moisture_cat|soil_temp_cat,18.6296621196748
elevation_cat|prec_cat|soil_pH_cat|soil_temp_cat,18.4940194559188
elevation_cat|rel_humidity_cat|soil_moisture_cat|soil_pH_cat,18.374184805071
elevation_cat|rel_humidity_cat|soil_moisture_cat|soil_temp_cat,18.5963088919419
elevation_cat|rel_humidity_cat|soil_pH_cat|soil_temp_cat,18.3746802586605
elevation_cat|soil_moisture_cat|soil_pH_cat|soil_temp_cat,18.5687481969897
improved_water_cat|lst_day_cat|ndvi_cat|open_def_cat,18.6220257503041
improved_water_cat|lst_day_cat|ndvi_cat|prec_cat,18.534123168049
improved_water_cat|lst_day_cat|ndvi_cat|rel_humidity_cat,18.345754531357
improved_water_cat|lst_day_cat|ndvi_cat|soil_moisture_cat,18.3459927817611
improved_water_cat|lst_day_cat|ndvi_cat|soil_pH_cat,18.3716567843389
improved_water_cat|lst_day_cat|ndvi_cat|soil_temp_cat,18.4733327046815
improved_water_cat|lst_day_cat|open_def_cat|prec_cat,18.6630146259396
improved_water_cat|lst_day_cat|open_def_cat|rel_humidity_cat,18.4898151142781
improved_water_cat|lst_day_cat|open_def_cat|soil_moisture_cat,18.6067856284494
improved_water_cat|lst_day_cat|open_def_cat|soil_pH_cat,18.3784711762757
improved_water_cat|lst_day_cat|open_def_cat|soil_temp_cat,18.4965500708145
improved_water_cat|lst_day_cat|prec_cat|rel_humidity_cat,18.472573390873
improved_water_cat|lst_day_cat|prec_cat|soil_moisture_cat,18.6308497018985
improved_water_cat|lst_day_cat|prec_cat|soil_pH_cat,18.5376876306116
improved_water_cat|lst_day_cat|prec_cat|soil_temp_cat,18.5270189862406
improved_water_cat|lst_day_cat|rel_humidity_cat|soil_moisture_cat,18.4949831406346
improved_water_cat|lst_day_cat|rel_humidity_cat|soil_pH_cat,18.3147716217454
improved_water_cat|lst_day_cat|rel_humidity_cat|soil_temp_cat,18.4613426997436
improved_water_cat|lst_day_cat|soil_moisture_cat|soil_pH_cat,18.3988753193406
improved_water_cat|lst_day_cat|soil_moisture_cat|soil_temp_cat,18.6343622119024
improved_water_cat|lst_day_cat|soil_pH_cat|soil_temp_cat,18.3695170409905
improved_water_cat|ndvi_cat|open_def_cat|prec_cat,18.7470705665095
improved_water_cat|ndvi_cat|open_def_cat|rel_humidity_cat,18.4914773882845
improved_water_cat|ndvi_cat|open_def_cat|soil_moisture_cat,18.7023796885188
improved_water_cat|ndvi_cat|open_def_cat|soil_pH_cat,18.6521316195764
improved_water_cat|ndvi_cat|open_def_cat|soil_temp_cat,18.5638495609043
improved_water_cat|ndvi_cat|prec_cat|rel_humidity_cat,18.6374468646712
improved_water_cat|ndvi_cat|prec_cat|soil_moisture_cat,18.7008257316606
improved_water_cat|ndvi_cat|prec_cat|soil_pH_cat,18.7245645289003
improved_water_cat|ndvi_cat|prec_cat|soil_temp_cat,18.5040118191472
improved_water_cat|ndvi_cat|rel_humidity_cat|soil_moisture_cat,18.5148812067739
improved_water_cat|ndvi_cat|rel_humidity_cat|soil_pH_cat,18.3981128476966
improved_water_cat|ndvi_cat|rel_humidity_cat|soil_temp_cat,18.4767059901291
improved_water_cat|ndvi_cat|soil_moisture_cat|soil_pH_cat,18.6643375514706
improved_water_cat|ndvi_cat|soil_moisture_cat|soil_temp_cat,18.5335675865802
improved_water_cat|ndvi_cat|soil_pH_cat|soil_temp_cat,18.5355463556753
improved_water_cat|open_def_cat|prec_cat|rel_humidity_cat,18.7087067505032
improved_water_cat|open_def_cat|prec_cat|soil_moisture_cat,18.7608175071903
improved_water_cat|open_def_cat|prec_cat|soil_pH_cat,18.7202847271827
improved_water_cat|open_def_cat|prec_cat|soil_temp_cat,18.5058824961498
improved_water_cat|open_def_cat|rel_humidity_cat|soil_moisture_cat,18.5403091523691
improved_water_cat|open_def_cat|rel_humidity_cat|soil_pH_cat,18.5049664543547
improved_water_cat|open_def_cat|rel_humidity_cat|soil_temp_cat,18.6220617336409
improved_water_cat|open_def_cat|soil_moisture_cat|soil_pH_cat,18.6498741451035
improved_water_cat|open_def_cat|soil_moisture_cat|soil_temp_cat,18.5967958066232
improved_water_cat|open_def_cat|soil_pH_cat|soil_temp_cat,18.5144327505574
improved_water_cat|prec_cat|rel_humidity_cat|soil_moisture_cat,18.7084174571009
improved_water_cat|prec_cat|rel_humidity_cat|soil_pH_cat,18.5638049452304
improved_water_cat|prec_cat|rel_humidity_cat|soil_temp_cat,18.4640890478805
improved_water_cat|prec_cat|soil_moisture_cat|soil_pH_cat,18.7195555286337
improved_water_cat|prec_cat|soil_moisture_cat|soil_temp_cat,18.5788787518139
improved_water_cat|prec_cat|soil_pH_cat|soil_temp_cat,18.5085268577296
improved_water_cat|rel_humidity_cat|soil_moisture_cat|soil_pH_cat,18.4091906979117
improved_water_cat|rel_humidity_cat|soil_moisture_cat|soil_temp_cat,18.577833359933
improved_water_cat|rel_humidity_cat|soil_pH_cat|soil_temp_cat,18.431866992487
improved_water_cat|soil_moisture_cat|soil_pH_cat|soil_temp_cat,18.5647333516212
lst_day_cat|ndvi_cat|open_def_cat|prec_cat,18.4178639835618
lst_day_cat|ndvi_cat|open_def_cat|rel_humidity_cat,18.3434802575394
lst_day_cat|ndvi_cat|open_def_cat|soil_moisture_cat,18.3512566099034
