school_id,lng,lat,school,county,subcounty,n,N,prev
4020453,37.2468968,-0.8624478,Tito,Machakos,Masinga,0,32,0
4020511,36.3630537,0.0346217,Kyeleni Primary,Machakos,Matungulu,0,32,0
4020512,37.2113584,-1.2267718,Ngalalya,Machakos,Matungulu,0,32,0
4020513,37.2327004,-1.1027934,Kiatineni,Machakos,Matungulu,0,33,0
4020521,37.3415832,-1.2171245,Katuluni,Machakos,Matungulu,0,32,0
4020522,37.177514,-1.2754001,Kantafu,Machakos,Matungulu,0,32,0
4020523,37.3097788,-1.2509367,Kikaatini,Machakos,Matungulu,0,32,0
4020531,37.2532323,-1.0857964,Donyo Sabuk,Machakos,Matungulu,0,32,0
4020532,37.3024981,-1.1507415,Kithuiani,Machakos,Matungulu,0,32,0
4020533,37.3465873,-1.2529146,Uamani Pr,Machakos,Matungulu,0,33,0
4020541,37.2655816,-1.1764641,Kyumbuni,Machakos,Matungulu,0,32,0
4020542,37.2965342,-1.2257468,Kalandini,Machakos,Matungulu,0,33,0
4020543,37.1941396,-1.2282553,Ndovoini,Machakos,Matungulu,0,32,0
4020551,37.2918133,-1.2884083,Ngomeni,Machakos,Matungulu,0,30,0
4020552,37.3253401,-1.2764814,Kyamulendu,Machakos,Matungulu,0,31,0
4020553,37.3040996,-1.2839231,Katine Sa,Machakos,Matungulu,0,31,0
4020611,36.9790286,-1.4593068,Athi River,Machakos,Mavoko,0,30,0
4020612,36.9888591,-1.4564222,Kanaani,Machakos,Mavoko,0,30,0
4020614,36.9772575,-1.4455932,Kwa Mangeli,Machakos,Mavoko,0,30,0
4020621,37.199525,-1.3668259,Ivovoani,Machakos,Mavoko,0,22,0
4020622,37.1738388,-1.4829324,Kaiani,Machakos,Mavoko,0,22,0
4020623,37.1261957,-1.5577738,Kyumbi,Machakos,Mavoko,0,21,0
4020624,37.1778054,-1.4470797,Wathia,Machakos,Mavoko,0,22,0
4020631,37.0849774,-1.3090415,Ngalalya (Muthwani),Machakos,Mavoko,0,32,0
4020632,37.1097332,-1.4023971,Nzoiani,Machakos,Mavoko,0,32,0
4020633,37.171975,-1.4119317,Muthwani,Machakos,Mavoko,0,32,0
4020634,37.1108386,-1.3602972,Kavomboni,Machakos,Mavoko,0,15,0
4020641,36.948499,-1.3915451,Ngwata Primary,Machakos,Mavoko,3,32,0.09375
4020642,36.9465318,-1.4083354,Mlolongo Primary,Machakos,Mavoko,1,32,0.03125
4020643,36.9452745,-1.3745662,Mavoko Snp,Machakos,Mavoko,0,10,0
4020644,36.9424403,-1.3946105,St. Francis Of Assisi Ac.,Machakos,Mavoko,0,19,0
4020711,37.6912957,-1.5364907,Ngumbau,Machakos,Mwala,0,32,0
4020712,37.7127233,-1.5560733,Matulani,Machakos,Mwala,0,32,0
4020721,37.4824037,-1.3803515,Kyamutwii,Machakos,Mwala,0,32,0
4020722,37.4664008,-1.2931797,Myanyani H.g.m,Machakos,Mwala,0,32,0
4020723,37.4610715,-1.3119295,Musaalani,Machakos,Mwala,0,32,0
4020731,37.4276095,-1.5229633,Nguluni,Machakos,Mwala,0,32,0
4020732,37.3707052,-1.4444026,Kathuki Aic,Machakos,Mwala,0,28,0
4020733,37.4301192,-1.4904573,Kikelenzu,Machakos,Mwala,0,32,0
4020741,37.4533354,-1.2470654,Aic Kimuuni,Machakos,Mwala,0,32,0
4020742,37.465381,-1.2478519,Kitwamba,Machakos,Mwala,0,32,0
4020751,37.508246,-1.4468746,Kaliambeu,Machakos,Mwala,0,32,0
4020752,37.5263941,-1.4641335,Ngamba,Machakos,Mwala,0,32,0
4020761,37.6032419,-1.3864325,Wakaela,Machakos,Mwala,0,32,0
4020762,37.6444153,-1.4573388,Ngomano,Machakos,Mwala,0,29,0
4020763,37.5814422,-1.4839196,Kyamatula,Machakos,Mwala,1,32,0.03125
4020811,37.6081304,-1.272481,Uvaini Aic,Machakos,Yatta,0,31,0
4020813,37.6764877,-1.4279542,Muusini,Machakos,Yatta,0,30,0
4020821,37.6968355,-1.4104538,Katangi,Machakos,Yatta,0,30,0
4020822,37.7381464,-1.3554642,Mombuni,Machakos,Yatta,0,32,0
4020823,37.732209,-1.4691718,Yumbuni,Machakos,Yatta,0,30,0
4020831,37.4201006,-1.1687652,Nguumo (Kithimani),Machakos,Yatta,0,32,0
4020832,37.6254816,-1.251378,Kionyweni,Machakos,Yatta,0,32,0
4020833,37.4877804,-1.1454464,Kauukuni,Machakos,Yatta,0,32,0
4020841,37.5281412,-1.2043182,Kautulini,Machakos,Yatta,0,32,0
4020842,37.5149049,-1.1083026,Masewani,Machakos,Yatta,0,32,0
4020843,37.5428051,-1.1465362,Matuu Hgm,Machakos,Yatta,0,32,0
4020851,37.4871823,-1.0974158,Ndalani,Machakos,Yatta,0,32,0
4020852,37.4360112,-1.0406212,Matangini (Ndalani),Machakos,Yatta,0,32,0
4020853,37.4244856,-1.0532787,Mukuyuni,Machakos,Yatta,0,32,0
4030111,37.4681198,-0.4265965,Kairuri,Embu,Manyatta,1,32,0.03125
4030112,37.4767639,-0.3563341,Gaciigi,Embu,Manyatta,0,32,0
4030113,37.4751814,-0.3949538,Kiriari,Embu,Manyatta,0,32,0
4030121,37.5804492,-0.517273,St Almano,Embu,Manyatta,0,32,0
4030122,37.5254439,-0.5058448,Kithimu,Embu,Manyatta,0,32,0
4030131,37.4500904,-0.4091392,Muvandori,Embu,Manyatta,0,31,0
4030141,37.4673219,-0.5390042,Kamiu,Embu,Manyatta,0,32,0
4030142,37.4705162,-0.5109427,St Peters Gatituri,Embu,Manyatta,0,32,0
4030143,37.5032276,-0.5371492,Itabua,Embu,Manyatta,0,32,0
4030151,37.4468713,-0.5120961,Njukiri,Embu,Manyatta,0,30,0
4030152,37.4520611,-0.5445256,County,Embu,Manyatta,0,30,0
4030153,37.4527472,-0.5345755,St Michael,Embu,Manyatta,0,30,0
4030161,37.4778644,-0.4560552,St Peters Runganga,Embu,Manyatta,0,32,0
4030162,37.5201908,-0.4778553,Nembure,Embu,Manyatta,0,32,0
4030211,37.5294119,-0.4400671,Ccm Kevote,Embu,Runyenjes,0,32,0
4030212,37.5023105,-0.4148964,D.e.b Kavutiri,Embu,Runyenjes,0,31,0
4030213,37.506758,-0.4440781,Kianjuki,Embu,Runyenjes,0,32,0
4030221,37.6301791,-0.4675646,Karumiri,Embu,Runyenjes,0,32,0
4030223,37.6468115,-0.4707399,Kathambaiconi,Embu,Runyenjes,0,31,0
4030231,37.5702697,-0.413582,Ack Kagaari,Embu,Runyenjes,2,32,0.0625
4030232,37.5845066,-0.4534883,St Pauls Gatinda,Embu,Runyenjes,0,30,0
4030241,37.5686048,-0.4098457,Muragari,Embu,Runyenjes,0,32,0
4030242,37.5452923,-0.3868012,Kathande,Embu,Runyenjes,0,32,0
4030251,37.6176062,-0.4005196,Kivuria,Embu,Runyenjes,0,31,0
4030252,37.5566165,-0.3792571,Rukuriri,Embu,Runyenjes,0,32,0
4030261,37.6494723,-0.4716602,Karurumo,Embu,Runyenjes,0,32,0
4030262,37.6290322,-0.4257686,Kiamboa,Embu,Runyenjes,0,32,0
4030263,37.6085511,-0.3937209,Nguyori,Embu,Runyenjes,0,32,0
4030311,37.322455,-0.7644183,Iria Itune,Embu,Mbeere South,0,32,0
4030313,37.3890433,-0.8351917,Riakanau,Embu,Mbeere South,0,32,0
4030321,37.5403165,-0.8091663,Ndune,Embu,Mbeere South,0,30,0
4030322,37.478207,-0.8332251,Mulukusi,Embu,Mbeere South,0,32,0
4030323,37.4981055,-0.8347675,Manyati,Embu,Mbeere South,0,32,0
4030331,37.6066054,-0.6516652,Kabururi,Embu,Mbeere South,0,32,0
4030332,37.5501506,-0.6325102,Muraru,Embu,Mbeere South,0,32,0
4030333,37.5954583,-0.6694346,Munyori,Embu,Mbeere South,0,32,0
4030341,37.7308549,-0.7257133,Kamukunga,Embu,Mbeere South,0,32,0
4030342,37.6285033,-0.662815,Mutus,Embu,Mbeere South,0,30,0
4030343,37.7038231,-0.7449418,Kanduku,Embu,Mbeere South,0,31,0
4030351,37.87301,-0.621135,Deb Ngiiri,Embu,Mbeere South,0,32,0
4030352,37.7912648,-0.6727736,Kamaunju,Embu,Mbeere South,0,29,0
4030353,37.7919001,-0.6945387,Kiambere,Embu,Mbeere South,0,32,0
4030411,37.6250982,-0.5837716,Makunguru,Embu,Mbeere North,0,32,0
4030412,37.5923532,-0.5274407,Riandu,Embu,Mbeere North,0,32,0
4030413,37.6780829,-0.530945,Kune,Embu,Mbeere North,0,32,0
4030414,37.6565264,-0.6246649,Kamugu,Embu,Mbeere North,0,32,0
4030415,37.60185,-0.5492199,Kathetu,Embu,Mbeere North,0,32,0
4030421,37.7717833,-0.6335621,Kiamugongo,Embu,Mbeere North,0,32,0
4030422,37.7525226,-0.5735451,Nguthi,Embu,Mbeere North,0,32,0
4030423,37.7164716,-0.6440856,Karambari,Embu,Mbeere North,0,32,0
4030424,37.7965207,-0.6122894,Kandomba,Embu,Mbeere North,0,32,0
4030425,37.708939,-0.6242485,Gatakari,Embu,Mbeere North,0,32,0
4030431,37.8413185,-0.4923285,Kyenire,Embu,Mbeere North,1,32,0.03125
4030432,37.7440139,-0.5148173,Gatororori,Embu,Mbeere North,0,32,0
4030433,37.7268474,-0.5018311,Karuari,Embu,Mbeere North,0,32,0
4030434,37.7305663,-0.46096,Gwakaithi,Embu,Mbeere North,1,32,0.03125
4030435,37.7919204,-0.5159887,Usambara Pri,Embu,Mbeere North,0,32,0
4040111,37.6782386,-0.2909075,Gituntu,Tharaka-Nithi,Maara,0,32,0
4040112,37.7143278,-0.3071009,Ndumbini,Tharaka-Nithi,Maara,0,32,0
4040113,37.6185542,-0.2938896,Giampampo,Tharaka-Nithi,Maara,0,32,0
4040121,37.6848127,-0.2676799,Ntatua,Tharaka-Nithi,Maara,0,32,0
4040122,37.6140687,-0.2782699,Gituja,Tharaka-Nithi,Maara,0,32,0
4040123,37.7647955,-0.2827573,Kanoro,Tharaka-Nithi,Maara,0,32,0
4040131,37.7932531,-0.1973552,Kaare,Tharaka-Nithi,Maara,0,32,0
4040132,37.7729829,-0.2629486,Makengi,Tharaka-Nithi,Maara,0,34,0
4040133,37.7392171,-0.2278502,Maguma,Tharaka-Nithi,Maara,0,32,0
4040141,37.6880221,-0.2544358,Ngeru,Tharaka-Nithi,Maara,0,32,0
4040142,37.7182142,-0.2485223,Kauni,Tharaka-Nithi,Maara,0,32,0
4040143,37.6771227,-0.2379639,Kariakomo,Tharaka-Nithi,Maara,0,34,0
4040151,37.651507,-0.2384653,Wiru,Tharaka-Nithi,Maara,0,32,0
4040152,37.6459245,-0.2567729,Kiriani,Tharaka-Nithi,Maara,0,34,0
