county,subcounty,ward,school,school_id,lng,lat,n,N,prev
Embu,Runyenjes,Kagaari North,Muragari,4030241,37.5686048,-0.4098457,0,32,0
Embu,Runyenjes,Kagaari North,Kathande,4030242,37.5452923,-0.3868012,0,32,0
Embu,Runyenjes,Kyeni North,Kivuria,4030251,37.6176062,-0.4005196,0,31,0
Embu,Runyenjes,Kyeni North,Rukuriri,4030252,37.5566165,-0.3792571,0,32,0
Embu,Runyenjes,Kyeni South,Karurumo,4030261,37.6494723,-0.4716602,0,32,0
Embu,Runyenjes,Kyeni South,Kiamboa,4030262,37.6290322,-0.4257686,0,32,0
Embu,Runyenjes,Kyeni South,Nguyori,4030263,37.6085511,-0.3937209,0,32,0
Embu,Mbeere South,Mwea,Iria Itune,4030311,37.322455,-0.7644183,0,32,0
Embu,Mbeere South,Mwea,Riakanau,4030313,37.3890433,-0.8351917,0,32,0
Embu,Mbeere South,Makima,Ndune,4030321,37.5403165,-0.8091663,0,30,0
